site,n_files,Ht_mean,Ht_sd,Ht_median
Battery_Island,240,0.961660883866881,0.03205131268557663,0.9826298089215526
Crow_Island,240,0.9783541243493841,0.010670551655016321,0.9826585050386147
Harris_Island,240,0.9824141772155269,0.01125892221689899,0.9842671769213533
Middle_Island,240,0.978342729919414,0.010103920393407205,0.9815240008372019
Samsing_Cove,240,0.9804291436010646,0.002909926569058551,0.9806867560648795
Sandy_Cove,170,0.9801700615789292,0.007102373726752779,0.9827040190512406
